algo,type,n,m,trial,time
dp-old,star,191,190,2,0.000027504
dp-old,star,203,202,0,0.000030583
dp-old,star,203,202,1,0.000030553
dp-old,star,203,202,2,0.000030696
dp-old,star,216,215,0,0.000034148
dp-old,star,216,215,1,0.000034216
dp-old,star,216,215,2,0.000034120
dp-old,star,230,229,0,0.000038271
dp-old,star,230,229,1,0.000038283
dp-old,star,230,229,2,0.000038248
dp-old,star,245,244,0,0.000042929
dp-old,star,245,244,1,0.000042884
dp-old,star,245,244,2,0.000042964
dp-old,star,261,260,0,0.000048013
dp-old,star,261,260,1,0.000047987
dp-old,star,261,260,2,0.000048027
dp-old,star,278,277,0,0.000053910
dp-old,star,278,277,1,0.000053705
dp-old,star,278,277,2,0.000053767
dp-old,star,296,295,0,0.000060270
dp-old,star,296,295,1,0.000060365
dp-old,star,296,295,2,0.000060348
dp-old,star,315,314,0,0.000067529
dp-old,star,315,314,1,0.000067463
dp-old,star,315,314,2,0.000067373
dp-old,star,335,334,0,0.000075394
dp-old,star,335,334,1,0.000075495
dp-old,star,335,334,2,0.000075564
dp-old,star,356,355,0,0.000084139
dp-old,star,356,355,1,0.000084035
dp-old,star,356,355,2,0.000083976
dp-old,star,379,378,0,0.000094035
dp-old,star,379,378,1,0.000094098
dp-old,star,379,378,2,0.000094068
dp-old,star,403,402,0,0.000105006
dp-old,star,403,402,1,0.000105090
dp-old,star,403,402,2,0.000105011
dp-old,star,429,428,0,0.000117263
dp-old,star,429,428,1,0.000117258
dp-old,star,429,428,2,0.000117056
dp-old,star,456,455,0,0.000130504
dp-old,star,456,455,1,0.000130878
dp-old,star,456,455,2,0.000130948
dp-old,star,485,484,0,0.000145989
dp-old,star,485,484,1,0.000146011
dp-old,star,485,484,2,0.000146210
dp-old,star,516,515,0,0.000163537
dp-old,star,516,515,1,0.000163575
dp-old,star,516,515,2,0.000163490
dp-old,star,549,548,0,0.000183012
dp-old,star,549,548,1,0.000182895
dp-old,star,549,548,2,0.000183440
dp-old,star,584,583,0,0.000204449
dp-old,star,584,583,1,0.000204793
dp-old,star,584,583,2,0.000204899
dp-old,star,621,620,0,0.000229424
dp-old,star,621,620,1,0.000229500
dp-old,star,621,620,2,0.000229349
dp-old,star,660,659,0,0.000256518
dp-old,star,660,659,1,0.000256398
dp-old,star,660,659,2,0.000255905
dp-old,star,702,701,0,0.000287774
dp-old,star,702,701,1,0.000287862
dp-old,star,702,701,2,0.000287235
dp-old,star,746,745,0,0.000322028
dp-old,star,746,745,1,0.000321941
dp-old,star,746,745,2,0.000321546
dp-old,star,793,792,0,0.000360629
dp-old,star,793,792,1,0.000367632
dp-old,star,793,792,2,0.000359989
dp-old,star,843,842,0,0.000403888
dp-old,star,843,842,1,0.000404952
dp-old,star,843,842,2,0.000404444
dp-old,star,896,895,0,0.000452945
dp-old,star,896,895,1,0.000453223
dp-old,star,896,895,2,0.000453842
dp-old,star,952,951,0,0.000509112
dp-old,star,952,951,1,0.000509307
dp-old,star,952,951,2,0.000508593
dp-old,star,1012,1011,0,0.000569747
dp-old,star,1012,1011,1,0.000570354
